form,n_accessions,n_ciks,in_allow_list
8-K,5519,492,Y
10-Q,4556,343,Y
10-K,1847,343,Y
DEF 14A,1255,245,Y
S-1/A,1137,448,Y
424B3,938,753,Y
S-1,516,495,Y
ARS,387,154,N
CORRESP,370,193,N
S-4/A,339,900,Y
UPLOAD,336,235,N
DRS/A,322,156,Y
424B4,297,256,Y
424B5,295,125,Y
N-PX,267,200,N
425,258,155,N
DRS,254,198,Y
DEFA14A,199,101,Y
8-K/A,194,141,Y
SC 13D/A,191,130,N
10-K/A,185,124,Y
PRER14A,181,71,N
SC 13D,169,240,N
S-4,168,1025,Y
PRE 14A,166,118,Y
POS AM,161,81,N
DEFM14A,159,148,Y
424B7,124,30,N
S-3,104,61,N
PREM14A,102,94,N
DRSLTR,89,70,N
10-Q/A,88,46,Y
6-K,80,17,Y
S-3ASR,72,187,N
4,55,16,N
SC TO-I/A,48,16,N
SCHEDULE 13D/A,48,45,N
S-3/A,47,27,N
SC 13E3/A,39,14,N
424B1,38,42,Y
424B2,31,100,Y
DEFM14C,25,23,N
PREM14C,22,21,N
FWP,22,18,N
DEFR14A,21,17,N
F-4/A,20,148,N
10-12B/A,19,10,N
SC 13E3,17,17,N
N-CSR,16,5,N
N-CSRS,15,5,N
S-8,15,12,N
497,15,2,N
SC TO-I,15,16,N
10-12G/A,15,8,N
POSASR,14,58,N
N-Q,14,8,N
20-F,13,6,Y
PRER14C,13,9,N
DEF 14C,12,11,N
N-PX/A,12,9,N
PRE 14C,12,11,N
SCHEDULE 13D,12,21,N
POS 8C,11,2,N
SC TO-C,11,11,N
10-12G,10,10,N
8-K12B,10,10,N
SC TO-T,10,20,N
POS EX,9,7,N
SC 14D9,9,9,N
10-12B,9,9,N
F-1,8,5,N
N-2/A,8,3,N
40-F,8,3,Y
F-1/A,7,5,N
NPORT-P,7,1,N
F-4,7,152,N
1-A,6,5,N
DOS/A,6,2,N
PREC14A,5,7,N
40-APP/A,5,13,N
S-11/A,5,2,N
DFAN14A,5,4,N
SC 14D9/A,5,4,N
DEFC14A,5,7,N
1-A/A,4,2,N
N-2,4,2,N
S-8 POS,3,3,N
8-K12B/A,3,3,N
N-14 8C,3,3,N
253G2,3,2,N
SC TO-T/A,3,4,N
N-CSR/A,3,1,N
S-11,3,3,N
40FR12G,3,3,N
N-14 8C/A,3,3,N
4/A,3,4,N
1-A POS,2,2,N
DOS,2,2,N
1-K,2,1,N
10-KT/A,2,1,N
F-10,2,2,N
1-SA,2,1,N
T-3,2,30,N
3,2,3,N
SUPPL,2,1,N
PRRN14A,2,4,N
NPORT-P/A,2,1,N
8-A12B,2,2,N
NT 10-Q,2,2,N
10-KT,2,2,N
NT 10-K,1,1,N
S-4 POS,1,1,N
40-33,1,1,N
40-APP,1,5,N
10-QT,1,1,N
NT NPORT-P,1,1,N
SC14D9C,1,1,N
20-F/A,1,1,N
DOSLTR,1,1,N
F-3,1,1,N
8-K12G3,1,1,N
F-10/A,1,1,N
N-2ASR,1,1,N
