form,n_accessions,n_ciks,in_allow_list
13F-HR,5159,647,N
NPORT-P,4723,226,N
10-Q,3673,843,Y
8-K,3342,1275,Y
10-K,2240,958,Y
485BPOS,1971,426,N
424B2,1840,69,Y
N-PX,1269,525,N
424B3,992,503,Y
ARS,861,641,N
ABS-15G/A,844,2,N
DEF 14A,786,344,Y
S-1/A,722,564,Y
6-K,632,281,Y
13F-HR/A,549,195,N
425,525,375,N
497,508,155,N
S-1,431,493,Y
4,386,77,N
N-MFP,359,18,N
S-4/A,350,551,Y
20-F,336,164,Y
N-MFP2,335,19,N
FWP,295,57,N
485APOS,293,141,N
N-CSR,271,138,N
C,258,242,N
DRS/A,235,131,Y
N-CSRS,217,113,N
X-17A-5,206,169,N
DEFA14A,202,121,Y
POS AM,200,132,N
424B4,184,212,Y
DRS,182,153,Y
PRER14A,180,77,N
S-4,175,668,Y
CORRESP,170,129,N
10-K/A,167,141,Y
C/A,166,116,N
424B5,158,73,Y
DEFM14A,153,147,Y
8-K/A,138,124,Y
S-8,133,117,N
N-MFP3,132,9,N
UPLOAD,125,112,N
PRE 14A,119,99,Y
40-17G,113,134,N
PREM14A,101,97,N
NPORT-P/A,89,29,N
10-Q/A,81,65,Y
11-K,73,33,N
SC 13D,72,105,N
N-PX/A,68,49,N
SC 13D/A,68,85,N
N-Q,61,33,N
S-3,60,50,N
497J,57,49,N
487,56,56,N
10-12G/A,49,18,N
F-4/A,48,215,N
F-1/A,45,25,N
ABS-15G,45,34,N
SB-2/A,42,17,N
424B7,42,13,N
SC 13E3,41,45,N
10KSB,41,34,N
10-12G,40,29,N
N-MFP1,40,7,N
S-3/A,39,27,N
10-K405,35,34,N
DRSLTR,35,27,N
3,34,46,N
SC 13E3/A,33,22,N
1-A POS,33,6,N
10-D,32,20,N
POS AMI,32,11,N
40-F,30,10,Y
DFAN14A,30,37,N
F-1,29,26,N
SCHEDULE 13D/A,28,33,N
N-14/A,28,10,N
1-A/A,26,21,N
424H,25,32,N
D,25,24,N
C-AR,24,22,N
20-F/A,24,16,N
N-MFP1/A,24,3,N
S-3ASR,23,22,N
N-2/A,23,13,N
10QSB,22,17,N
F-4,22,39,N
DEFM14C,21,19,N
SB-2,21,20,N
S-11/A,21,10,N
N-14,21,10,N
NRSRO-CE,21,8,N
QRTLYRPT,20,4,N
POS 8C,20,7,N
N-1A/A,19,15,N
SC TO-T/A,19,20,N
DEFR14A,19,18,N
S-6,19,19,N
S-8 POS,19,8,N
PREM14C,18,17,N
F-3,18,15,N
1-A,18,18,N
497K,17,5,N
SC TO-C,17,21,N
SC 14D9,17,17,N
10KSB/A,16,7,N
N-30D,16,8,N
SE,16,10,N
N-MFP3/A,16,7,N
CB/A,16,13,N
SC TO-I/A,15,10,N
SD,15,4,N
S-6/A,15,13,N
40-APP/A,15,91,N
CB,15,14,N
N-CSR/A,14,9,N
NPORT-EX,14,1,N
N-VPFS,14,4,N
40-24B2,14,8,N
N-CEN,13,13,N
6-K/A,13,8,N
PREC14A,13,9,N
N-2,13,10,N
18-K/A,13,8,N
424B1,13,10,Y
SC TO-T,13,24,N
10-12B/A,12,9,N
ANNLRPT,12,3,N
N-4/A,12,7,N
N-MFP2/A,12,4,N
PRER14C,12,6,N
SC 14D9/A,12,10,N
PRRN14A,11,10,N
144,11,10,N
REVOKED,11,11,N
NSAR-B,10,10,N
SC 13G,10,14,N
SC TO-I,10,10,N
DEF 14C,10,10,N
NRSRO-UPD,10,4,N
ATS-N/UA,10,8,N
F-3/A,9,9,N
N-MFP/A,9,6,N
18-K,9,6,N
DEFC14A,8,8,N
8-K12B,8,8,N
X-17A-5/A,8,8,N
N-4,8,6,N
SCHEDULE 13D,8,14,N
10-12B,8,8,N
5,7,8,N
T-3,7,145,N
PRE 14C,7,7,N
10-KT,7,7,N
SC 13G/A,6,11,N
40FR12B,6,6,N
S-11,6,5,N
NSAR-U,6,1,N
NRSRO-CE/A,6,3,N
20FR12G,6,5,N
APP NTC,6,6,N
486BPOS,6,5,N
253G2,6,4,N
F-10,5,5,N
24F-2NT,5,4,N
N-6/A,5,4,N
N-1A,5,5,N
NSAR-A,5,5,N
DSTRBRPT,5,2,N
10SB12G/A,5,2,N
POS EX,5,3,N
U-1/A,5,2,N
424B8,5,4,N
NT NPORT-P,5,2,N
10SB12G,4,4,N
D/A,4,1,N
20FR12B,4,4,N
NT N-MFP,4,2,N
NT 10-Q,4,4,N
TA-1/A,4,1,N
4/A,4,8,N
8-A12B,3,3,N
N-14 8C,3,3,N
40-17G/A,3,2,N
PX14A6G,3,6,N
20FR12G/A,3,2,N
1-K,3,3,N
10QSB/A,3,3,N
POSASR,3,21,N
497AD,3,2,N
DOS,3,3,N
10-K405/A,3,3,N
T-3/A,3,118,N
40-APP,3,14,N
S-2/A,2,1,N
485BXT,2,2,N
SUPPL,2,1,N
NT N-MFP2,2,1,N
SC14D9C,2,2,N
40FR12G,2,2,N
10-QT,2,2,N
40-33,2,2,N
U-1,2,2,N
QRTLYRPT/A,2,1,N
N-14AE/A,2,1,N
C-AR/A,2,2,N
DEFN14A,2,2,N
SBSE-A/A,2,1,N
8-K12B/A,2,2,N
U-3A-2,1,1,N
N-Q/A,1,1,N
ATS-N/CA,1,1,N
424H/A,1,2,N
SC 14F1,1,1,N
10-KT/A,1,1,N
PRES14C,1,1,N
S-B,1,2,N
S-2,1,1,N
ATS-N/MA,1,1,N
SF-3,1,3,N
F-80,1,1,N
SB-1/A,1,1,N
40FR12B/A,1,1,N
1-U,1,1,N
U5S,1,1,N
486APOS,1,1,N
13F-NT,1,1,N
NT 10-K,1,1,N
DEFR14C,1,1,N
N-14 8C/A,1,1,N
PRES14A,1,1,N
N-6,1,1,N
8-A12B/A,1,1,N
S-3D,1,1,N
8-K15D5,1,1,N
F-4 POS,1,1,N
U5B,1,1,N
N-30B-2,1,1,N
40-F/A,1,1,N
F-3ASR,1,1,N
PREN14A,1,2,N
40-24B2/A,1,1,N
ARS/A,1,1,N
APP ORDR,1,1,N
DEFS14C,1,1,N
10SB12B/A,1,1,N
DEFA14C,1,1,N
F-6 POS,1,2,N
T-6,1,1,N
F-6,1,1,N
10-D/A,1,1,N
11-K/A,1,1,N
8-K12G3,1,1,N
