cik,company_name,slug,role,tra_id,counterparties,date_executed,date_terminated,status_flag,tax_asset_type,payment_pct,notes
863903,"Aberdeen Global Select Opportunities Fund, Inc.",aberdeen-global-select-opportunities-fund-inc,no_tra,,,,,,,,"This CIK is a closed-end registered investment company. It was originally registered as ""The European Warrant Fund, Inc."" (2003 filing), later renamed to ""Artio Global Select Opportunities Fund Inc."" (2013, under Artio Global Investors's sponsorship), and renamed again to ""Aberdeen Global Select Opportunities Fund, Inc."" following the Aberdeen acquisition of Artio's asset-management business in 2013."
887210,Aberdeen Investment Funds,aberdeen-investment-funds,no_tra,,,,,,,,"CIK 0000887210 is a registered investment company (a 40 Act fund trust), filing under the name ""Artio Global Investment Funds"" in 2013 and renamed ""Aberdeen Investment Funds"" by 2021. The trust is an investment vehicle, not an operating company; it has no equity capital structure that could give rise to a TRA."
1817358,"Academy Sports + Outdoors, Inc.",academy-sports-outdoors-inc,no_tra,,,,,,,,"Classified role: not a TRA party (no TRA exists). Academy Sports + Outdoors, Inc. went public on October 2, 2020 via a conventional C-corporation IPO, not via an Up-C structure."
1748824,Acadian Asset Management Inc.,acadian-asset-management-inc,no_tra,,,,,,,,"Role: No TRA. Acadian Asset Management Inc. is not a party to any Tax Receivable Agreement as obligor, beneficiary, acquirer, or financing arm in any of the 21 filings in this firm directory."
1557939,Acelity L.P. Inc.,acelity-l-p-inc,never_executed,,,,,,,,"Role: Never executed (no TRA on file; the firm is a post-LBO private debt-registrant, not an Up-C / IPO obligor). Acelity L.P."
1762359,"Acreage Holdings, Inc.",acreage-holdings-inc,pubco,TRA-2018-11-14,,2018-11-14,,in_force,section_754_step_up,,"# Contract identification log — Acreage Holdings, Inc. (CIK 1762359) ## TRA-2018-11-14 — Tax Receivable Agreement (original) Status: in force as of September 30, 2024 (no payments ever made; assigned to Canopy USA conditional on the Canopy Growth acquisition closing). Parties."
1725255,AdaptHealth Corp.,adapthealth-corp,pubco,TRA-2019-11-08,- PubCo: AdaptHealth Corp.,2019-11-08,,in_force,section_754_step_up,85%,"AdaptHealth Corp. is the PubCo (TRA obligor) under a single Up-C-style Tax Receivable Agreement. The TRA was executed concurrent with the November 8, 2019 business combination that converted DFB Healthcare from a shell SPAC into the publicly traded parent of an Up-C structure with AdaptHealth Holdings LLC as the operating partnership."
1602367,Adeptus Health Inc.,adeptus-health-inc,pubco,TRA-2014-06-25,,2014-06-25,2017-10-02,terminated_bankruptcy,section_754_step_up,85%,"Adeptus Health Inc. is a PubCo / TRA obligor. Adeptus completed an Up-C IPO on June 25, 2014, with parent corporation Adeptus Health Inc. sitting above operating partnership Adeptus Health LLC."
1822523,contract_log.md,advanced-flower-capital-inc,no_tra,,,,,,,,"AFC Gamma, Inc. is a Maryland-incorporated commercial real estate REIT that originates senior secured loans to cannabis operators. It is a C-corporation REIT, not an Up-C structure."
1669792,"AdvancePierre Foods Holdings, Inc.",advancepierre-foods-holdings-inc,pubco,TRA-2016-07-20,,2016-07-20,2017-06-07,terminated_change_of_control,"section_754_step_up, pre_ipo_nol, amt_credit",85%,"PubCo (TRA obligor). AdvancePierre Foods Holdings, Inc. (CIK 0001669792) went public via a conventional (non-Up-C) IPO on July 20, 2016 and committed to pay 85% of realized tax savings on pre-IPO tax attributes (NOLs, alternative minimum tax credit carryforwards, and tax basis) to its pre-IPO Oaktree-affiliated stockholders, represented by OCM FIE, LLC as the Existing Stockholders Representative."
