cik,accession,filename,classification,classifier_version,signals_matched,needs_a1_review,escalation_reason,reviewer_verdict,reviewer_rationale
0000006281,0000006281-26-000022,amendedandrestated2020equi.htm,uncertain,2,phrase,,,no,Document is an Amended and Restated 2020 Equity Incentive Plan (EX-10.1) with no occurrence of 'TAX RECEIVABLE AGREEMENT' in the body.
0000008947,0000008947-22-000162,ex10_1toclosingxprojectgold.htm,no,2,,,,,
0000023217,0001193125-16-766107,d270210dex101.htm,uncertain,2,phrase|defined_term_tax_asset,,,no,"Centered title is 'TAX MATTERS AGREEMENT' between ConAgra Foods and Lamb Weston Holdings; a spin-off tax sharing agreement, not a Tax Receivable Agreement."
0000035527,0001193125-09-066782,dex102.htm,uncertain,2,phrase|defined_term_hypothetical_tax_liability|defined_term_section_754,,,no,"Centered title is 'Amended & Restated Limited Liability Company Agreement / Summary of Terms and Conditions' for Fifth Third Processing Solutions, LLC; LLC term sheet, not a TRA."
0000035527,0001193125-09-143697,dex102.htm,uncertain,2,phrase|defined_term_hypothetical_tax_liability|defined_term_basis_adjustment,,,no,"Centered title is 'AMENDED AND RESTATED LIMITED LIABILITY COMPANY AGREEMENT' for FTPS Holding, LLC; an LLC agreement, not a TRA."
0000070866,0001193125-24-194328,d153288dex101.htm,uncertain,2,phrase|defined_term_tax_asset,,,no,"Centered title is 'PURCHASE AGREEMENT' between NCR Voyix, Digital First Holdings II LLC, and Dragon Buyer; an M&A purchase agreement, not a TRA."
0000082811,0001104659-21-025739,tm217029d1_ex10-2.htm,uncertain,2,phrase,,,no,"Centered title is 'TAX MATTERS AGREEMENT' among Rexnord, Land Newco, and Regal Beloit; a spin-off tax-sharing agreement, not a TRA."
0000103379,0001193125-19-155382,d749655dex101.htm,uncertain,2,phrase|defined_term_tax_asset,,,no,Centered title is 'TAX MATTERS AGREEMENT' between VF Corporation and Kontoor Brands (spin-off tax sharing agreement); not a TRA.
0000104889,0000950157-14-000338,ex10-1.htm,uncertain,2,phrase,,,no,"Centered title is 'TAX MATTERS AGREEMENT' (Berkshire Hathaway, Graham Holdings, and a split-off subsidiary); not a TRA."
0000104889,0000950157-15-000580,ex10-2.htm,uncertain,2,phrase,,,no,"Centered title is 'TAX MATTERS AGREEMENT' between Graham Holdings and Cable One; a spin-off tax allocation agreement, not a TRA."
0000106040,0000106040-16-000022,wdc-040116xexhibit104.htm,uncertain,2,phrase,,,no,Document (WDC EX-10.4) contains zero occurrences of 'Tax Receivable' anywhere in its text; cannot be a TRA contract.
0000106040,0000106040-19-000028,wdc-2019q3ex102.htm,uncertain,2,phrase,,,no,"SEC EX-10 description is 'CREDIT AGREEMENT AMENDMENT'; a credit-agreement amendment, not a TRA."
0000106040,0001193125-16-570122,d189018dex101.htm,uncertain,2,phrase,,,no,Centered title is 'LOAN AGREEMENT' for Western Digital Corporation; a credit/loan agreement that is not itself a TRA.
0000106040,0001193125-18-061179,d482474dex101.htm,uncertain,2,phrase,,,no,Centered title is 'AMENDMENT NO. 7' to a Loan Agreement (Western Digital credit facility); not a TRA.
0000350403,0001193125-23-250124,d865493dex106.htm,uncertain,2,phrase,,,no,"Centered title is 'REVOLVING CREDIT, TERM LOAN AND SECURITY AGREEMENT' (PHI Health, LLC and PNC Bank); a credit/security agreement, not a TRA."
0000350403,0001193125-23-250124,d865493dex107.htm,uncertain,2,phrase,,,no,"Centered title is 'REVOLVING CREDIT, TERM LOAN AND SECURITY AGREEMENT' (PHI Aviation borrowers and PNC Bank); a credit agreement, not a TRA."
0000351817,0001628280-24-028825,exhibit101-pricing8xk.htm,no,2,,,,,
0000701985,0001140361-21-026658,nt10026698x7_ex10-3.htm,uncertain,2,phrase|defined_term_tax_asset,,,no,Centered title is 'TAX MATTERS AGREEMENT' between L Brands and Victoria's Secret (spin-off tax-sharing agreement); not a TRA.
0000707388,0000707388-25-000023,staradtmergeragreement.htm,uncertain,2,phrase,,,no,"Centered title is 'AGREEMENT AND PLAN OF MERGER' (Star Equity Holdings and Alliance Drilling Tools parties); body governs merger mechanics, not TRA payments."
0000707388,0000707388-25-000025,staradtmergeragreement.htm,uncertain,2,phrase,,,no,"Centered title is 'AGREEMENT AND PLAN OF MERGER' (Star Equity Holdings and Alliance Drilling Tools parties); body governs merger mechanics, not TRA payments."
0000711377,0001140361-22-022311,ny20004078x7_ex10-2.htm,uncertain,2,phrase,,,no,"Centered title is 'FORM OF TAX MATTERS AGREEMENT' (3M, Garden SpinCo, Neogen spin-off tax-sharing agreement); not a TRA."
0000711377,0001140361-22-032001,ny20004078x25_ex10-1.htm,uncertain,2,phrase,,,no,"Centered title is 'TAX MATTERS AGREEMENT' between 3M, Garden SpinCo, and Neogen; a spin-off tax-sharing agreement, not a TRA."
0000719739,0001193125-23-171310,d465785dex101.htm,no,2,,,,,
0000721683,0000950123-10-046079,g23272exv10w3.htm,uncertain,2,phrase|defined_term_hypothetical_tax_liability|defined_term_basis_adjustment,,,no,"Centered title is 'AMENDED AND RESTATED LIMITED LIABILITY COMPANY AGREEMENT' for FNMS Holding, LLC; LLC agreement, not a TRA."
0000722077,0001047469-07-001295,a2176155zex-10_3.htm,uncertain,2,phrase|defined_term_section_754,,,no,"Centered title is 'NATIONAL CINEMEDIA, LLC THIRD AMENDED AND RESTATED LIMITED LIABILITY COMPANY OPERATING AGREEMENT'; an LLC operating agreement, not a TRA."
0000732717,0001193125-21-167802,d166195dex104.htm,uncertain,2,phrase|defined_term_early_termination_payment,,,no,"Centered title is 'TAX MATTERS AGREEMENT' between AT&T, Magallanes, and Discovery; a spin-off tax matters agreement, not a TRA."
0000732717,0001193125-21-233230,d188128dex101.htm,uncertain,2,phrase,,,no,"Centered title is 'AMENDED AND RESTATED LIMITED LIABILITY COMPANY AGREEMENT OF DIRECTV ENTERTAINMENT HOLDINGS LLC'; an LLC agreement, not a TRA."
0000750004,0001104659-19-027607,a19-9535_1ex10d1.htm,yes,2,centered_title|phrase|defined_term_realized_tax_benefit|defined_term_hypothetical_tax_liability|defined_term_tax_benefit_schedule|defined_term_early_termination_payment|defined_term_basis_adjustment,,,,
0000750004,0001104659-23-110658,tm2328757d1_ex10-1.htm,uncertain,2,phrase|defined_term_early_termination_payment,,,no,Centered title is 'WAIVER' (one-page waiver of Section 4.1(b) of an existing TRA in connection with a merger); not a TRA contract itself.
0000750004,0001104659-23-110658,tm2328757d1_ex10-2.htm,uncertain,2,phrase|defined_term_early_termination_payment,,,no,Centered title is 'WAIVER' (of an existing TRA in connection with a merger); not a TRA contract itself.
0000750004,0001104659-23-110658,tm2328757d1_ex10-3.htm,uncertain,2,phrase|defined_term_early_termination_payment,,,no,Centered title is 'WAIVER' (one-page waiver of Section 4.1(b) of an existing TRA executed in connection with a merger); not a TRA itself.
0000810332,0001628280-26-019614,employmentagreementbetween.htm,uncertain,2,phrase,,,no,Document is an Employment Agreement (filename and body match); zero occurrences of 'Tax Receivable Agreement'.
0000821002,0000950142-26-001394,eh260778952_ex1003.htm,uncertain,2,phrase,,,no,"Centered title is 'AMENDED AND RESTATED OPERATING AGREEMENT of MJ Topco, LLC'; an LLC operating agreement, not a TRA."
0000837465,0000837465-26-000003,exhibt101topgolfllcagreeme.htm,no,2,,,,,
0000866374,0000866374-24-000005,flex-8xkexh102taxmattersag.htm,uncertain,2,phrase,,,no,Centered title is 'TAX MATTERS AGREEMENT' (spin-off tax-allocation contract); zero 'TAX RECEIVABLE' mentions in document.
0000876883,0000876883-22-000024,exhibit102.htm,no,2,,,,,
0000876883,0000876883-23-000010,exhibit103-amendmentno3toa.htm,no,2,,,,,
0000876883,0000876883-26-000010,stgw12312025-exhibit102.htm,no,2,,,,,
0000876883,0000876883-26-000017,exhibit101.htm,no,2,,,,,
0000876883,0001104659-20-138612,tm2038803d6_ex10-2.htm,uncertain,2,phrase|defined_term_basis_adjustment,,,no,"Centered title is 'CONSENT AND SUPPORT AGREEMENT' (MDC Partners and a Bondholder, senior-notes consent solicitation); not a TRA."
0000876883,0001104659-20-138613,tm2038803d6_ex10-2.htm,uncertain,2,phrase|defined_term_basis_adjustment,,,no,"Centered title is 'CONSENT AND SUPPORT AGREEMENT' (MDC Partners and a Bondholder, senior-notes consent solicitation); not a TRA."
0000876883,0001104659-21-098992,tm2123756d1_ex10-2.htm,yes,2,centered_title|phrase|defined_term_realized_tax_benefit|defined_term_hypothetical_tax_liability|defined_term_tax_benefit_schedule|defined_term_early_termination_payment|defined_term_basis_adjustment,,,,
0000876883,0001104659-21-098992,tm2123756d1_ex10-4.htm,no,2,,,,,
0000876883,0001104659-25-038729,tm2513100d1_ex10-1.htm,uncertain,2,phrase|defined_term_basis_adjustment,,,,
0000876883,0001628280-23-016716,exhibit103.htm,no,2,,,,,
0000883902,0000883902-22-000041,ablamdmtno.htm,uncertain,2,phrase,,,,
0000883902,0000883902-23-000016,a20230401exhibit10_1.htm,uncertain,2,phrase,,,,
0000883902,0000883902-24-000046,a20240521exhibit101.htm,uncertain,2,phrase,,,,
0000883902,0000883902-24-000046,a20240521exhibit102.htm,uncertain,2,phrase,,,no,"Document title is 'AMENDMENT NO. 8 to the ABL Credit Agreement' (Cornerstone Building Brands and lenders); a credit agreement amendment, not a TRA."
0000883902,0001144204-18-061046,tv507166_ex10-3.htm,uncertain,2,phrase,,,,
0000883902,0001144204-18-061046,tv507166_ex10-8.htm,uncertain,2,phrase,,,,
0000889971,0001654954-25-001429,lpth_ex101.htm,no,2,,,,,
0000889971,0001654954-25-001795,lpth_ex101.htm,no,2,,,,,
0000894871,0001493152-22-009190,ex10-1.htm,uncertain,2,phrase,,,,
0000912728,0001193125-24-021078,d348992dex101.htm,no,2,,,,,
0000912728,0001193125-24-021078,d348992dex104.htm,uncertain,2,phrase,,,,
0000912728,0001193125-24-021078,d348992dex106.htm,uncertain,2,phrase,,,,
0000912728,0001193125-24-021078,d348992dex107.htm,yes,2,centered_title|phrase|defined_term_realized_tax_benefit|defined_term_hypothetical_tax_liability|defined_term_tax_benefit_schedule|defined_term_early_termination_payment|defined_term_basis_adjustment,,,,
0000927653,0001193125-17-073411,d354020dex101.htm,no,2,,,,,
0000927653,0001193125-20-072880,d846210dex101.htm,uncertain,2,phrase,,,no,Centered title is 'TAX MATTERS AGREEMENT' (McKesson/SpinCo/Change Healthcare spin-off tax allocation agreement); not a TRA.
0000931148,0000912057-18-000102,filename2.htm,no,2,,,,,
0000931148,0000931148-23-000035,exhibit1015taxreceivableag.htm,yes,2,centered_title|phrase|defined_term_realized_tax_benefit|defined_term_tax_benefit_schedule|defined_term_early_termination_payment|defined_term_tax_asset,,,,
0000931148,0000931148-24-000021,exhibit1015-taxreceivabl.htm,yes,2,centered_title|phrase|defined_term_realized_tax_benefit|defined_term_tax_benefit_schedule|defined_term_early_termination_payment|defined_term_tax_asset,,,,
0000931148,0001047469-18-001894,a2234946zex-10_1.htm,no,2,,,,,
0000931148,0001047469-18-001894,a2234946zex-10_14.htm,yes,2,centered_title|phrase|defined_term_realized_tax_benefit|defined_term_tax_benefit_schedule|defined_term_early_termination_payment|defined_term_tax_asset,,,,
0000931148,0001193125-21-049021,d132297dex101.htm,no,2,,,,,
0000931148,0001193125-22-166261,d291390dex101.htm,no,2,,,,,
0000945394,0001104659-15-043970,a15-13689_1ex10d1.htm,uncertain,2,phrase,,,,
0001000180,0001193125-16-570123,d189018dex101.htm,uncertain,2,phrase,,,no,Centered title is 'LOAN AGREEMENT' for Western Digital Corporation; a credit/loan agreement that is not itself a TRA.
0001003642,0001193125-18-153631,d571001dex101.htm,no,2,,,,,
0001003642,0001193125-18-153631,d571001dex102.htm,no,2,,,,,
0001004980,0000950157-19-001333,ex10-1.htm,uncertain,2,phrase,,,no,Chapter 11 Plan Backstop Commitment Letter (PG&E); not a TRA.
0001004980,0000950157-19-001398,ex10-1.htm,uncertain,2,phrase,,,,
0001004980,0000950157-19-001505,ex10-1.htm,uncertain,2,phrase,,,,
0001004980,0000950157-20-000264,ex10-1.htm,uncertain,2,phrase,,,,
